sim_time,value_0,value_1,value_2
0.016,0.0,0.0,0.0
0.032,0.0,1.7858193,0.0
0.048,0.16470285,0.53517044,0.0
0.064,0.038195826,0.6935987,0.0
0.08,0.0,0.6792323,0.0
0.096,0.0,0.64739215,0.0
0.112,0.0,0.6087994,0.0
0.128,0.0,0.5641983,0.0
0.14400000000000002,0.0,0.51365757,0.0
0.16,0.0,0.45719233,0.0
0.176,0.0,0.39480475,0.0
0.192,0.0,0.32648745,0.0
0.20800000000000002,0.0,0.2522243,0.0
0.224,0.0,0.17199112,0.0
0.24,0.0,0.08575663,0.0
0.256,0.0,0.0,0.0
0.272,0.0,0.0,0.0
0.28800000000000003,0.0,0.0,0.0
0.304,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.336,0.0,0.0,0.0
0.352,0.0,0.0,0.0
0.368,0.0,0.0,0.0
0.384,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.41600000000000004,0.0,0.0,0.0
0.432,0.0,81.24151,0.0
0.448,0.0,87.99699,0.0
0.464,0.0,88.30956,0.0
0.48,0.0,49.699715,0.0
0.496,0.085121065,0.4164142,0.0
0.512,0.12789547,0.7198943,0.0
0.528,0.15777214,1.118355,0.0
0.544,0.18126215,1.5124238,0.0
0.56,0.20125963,1.8977572,0.0
0.5760000000000001,0.21885678,2.2773695,0.0
0.592,0.23445392,2.6515682,0.0
0.608,0.24809903,3.0206487,0.0
0.624,0.25969374,3.384903,0.0
0.64,0.26909307,3.7446191,0.0
0.656,0.0,0.0,0.0
0.672,0.86327255,43.21332,0.0
0.6880000000000001,0.34230107,38.648716,0.0
0.704,0.32969618,37.03165,0.0
0.72,0.27198377,23.526949,0.0
0.736,0.23187277,9.519544,0.0
0.752,0.24777181,7.899721,0.0
0.768,0.24013668,6.58353,0.0
0.784,0.23765987,5.459197,0.0
0.8,0.19311051,4.5076694,0.0
0.8160000000000001,0.19197696,3.7526755,0.0
0.8320000000000001,0.19000174,3.662863,0.0
0.848,0.17076313,3.5687602,0.0
0.864,0.14619535,3.470853,0.0
0.88,0.11880345,3.3717594,0.0
0.896,0.08999805,3.2695792,0.0
0.912,0.060420845,3.158042,0.0
0.928,0.030723546,3.0437868,0.0
0.9440000000000001,0.001257087,2.9286683,0.0
0.96,0.0,2.8097694,0.0
0.976,0.0,2.6870065,0.0
0.992,0.0,2.5603042,0.0
1.008,0.0,2.4352913,0.0
1.024,0.0,2.3021967,0.0
1.04,0.0,2.1611543,0.0
1.056,0.0,2.0166829,0.0
1.072,0.0,1.8696759,0.0
1.088,0.0,1.7182397,0.0
1.104,0.0,1.5622294,0.0
1.12,0.0,1.401497,0.0
1.1360000000000001,0.0,1.2358867,0.0
1.1520000000000001,0.22575867,4.710972,0.0
1.168,0.0,0.0,0.0
1.184,1.8973312,0.0,0.0
1.2,0.85264426,7.4392147,0.0
1.216,0.0,0.65636027,0.0
1.232,0.0,0.0,0.0
1.248,0.0,0.0,0.0
1.264,0.0,0.0,0.0
1.28,0.0,0.0,0.0
1.296,0.0,0.0,0.0
1.312,0.0,0.0,0.0
1.328,0.0,0.0,0.0
1.344,0.0,0.0,0.0
1.36,0.0,0.0,0.0
1.3760000000000001,0.0,0.0,0.0
1.3920000000000001,0.0,0.0,0.0
1.408,0.0,0.0,0.0
1.424,0.0,11.316555,0.0
1.44,0.0,7.0738115,0.0
1.456,0.0,0.0,0.0
1.472,0.0,0.0,0.0
1.488,0.0,0.0,0.0
1.504,0.016510783,0.0,0.0
1.52,0.0,0.0,0.0
1.536,0.85687,0.0,0.0
1.552,1.903574,20.71865,0.0
1.568,0.0,0.0,0.0
1.584,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.616,0.021518033,0.0,0.0
1.6320000000000001,0.08585599,0.0,0.0
1.6480000000000001,0.1285061,0.0,0.0
1.6640000000000001,0.15996654,0.0,0.0
1.68,2.1088564,2.892897,0.0
1.696,1.7495384,0.0,0.0
1.712,1.8920256,0.0,0.0
1.728,0.0,0.0,0.0
1.744,0.0,4.554075,0.0
1.76,0.0,3.32748,0.0
1.776,0.006511339,0.0,0.0
1.792,2.0435061,2.4678226,0.0
1.808,1.6927263,0.0,0.0
1.824,1.9286101,0.0,0.0
1.84,0.0,0.0,0.0
1.856,0.0,0.0,0.0
1.872,0.020747144,0.0,0.0
1.8880000000000001,0.37443563,0.0,0.0
1.9040000000000001,0.0974003,0.0,0.0
1.92,0.0,0.0,0.0
1.936,34.495426,29.422462,0.0
1.952,0.0,71.08365,0.0
1.968,0.0,86.91318,0.0
1.984,0.0,28.711567,0.0
2.0,0.0,6.6431313,0.0
2.016,1.9584696,1.705354,0.0
2.032,1.8967047,0.0,0.0
2.048,1.887308,0.0,0.0
2.064,1.5872917,0.0,0.0
2.08,0.92025757,0.0,0.0
2.096,0.42858425,0.0,0.0
2.112,0.117974795,0.0,0.0
2.128,0.0,0.0,0.0
2.144,0.033856403,0.0,0.0
2.16,0.251401,0.0,0.0
2.176,0.634863,0.0,0.0
2.192,1.1788249,0.0,0.0
2.208,1.8778387,0.0,0.0
2.224,2.7260842,0.0,0.0
