sim_time,value
0.016,1000.0
0.032,1000.0
0.048,1000.0
0.064,1000.0
0.08,1000.0
0.096,1000.0
0.112,1000.0
0.128,1000.0
0.14400000000000002,1000.0
0.16,1000.0
0.176,1000.0
0.192,1000.0
0.20800000000000002,1000.0
0.224,1000.0
0.24,1000.0
0.256,1000.0
0.272,1000.0
0.28800000000000003,1000.0
0.304,1000.0
0.32,1000.0
0.336,1000.0
0.352,1000.0
0.368,1000.0
0.384,1000.0
0.4,1000.0
0.41600000000000004,1000.0
0.432,1000.0
0.448,1000.0
0.464,1000.0
0.48,1000.0
0.496,1000.0
0.512,1000.0
0.528,1000.0
0.544,1000.0
0.56,1000.0
0.5760000000000001,1000.0
0.592,1000.0
0.608,1000.0
0.624,1000.0
0.64,1000.0
0.656,1000.0
0.672,1000.0
0.6880000000000001,1000.0
0.704,1000.0
0.72,1000.0
0.736,1000.0
0.752,1000.0
0.768,1000.0
0.784,1000.0
0.8,1000.0
0.8160000000000001,1000.0
0.8320000000000001,1000.0
0.848,1000.0
0.864,1000.0
0.88,1000.0
0.896,1000.0
0.912,1000.0
0.928,1000.0
0.9440000000000001,1000.0
0.96,1000.0
0.976,1000.0
0.992,1000.0
1.008,1000.0
1.024,1000.0
1.04,1000.0
1.056,1000.0
1.072,1000.0
1.088,1000.0
1.104,1000.0
1.12,1000.0
1.1360000000000001,1000.0
1.1520000000000001,1000.0
1.168,1000.0
1.184,1000.0
1.2,1000.0
1.216,1000.0
1.232,1000.0
1.248,1000.0
1.264,1000.0
1.28,1000.0
1.296,1000.0
1.312,1000.0
1.328,1000.0
1.344,1000.0
1.36,1000.0
1.3760000000000001,1000.0
1.3920000000000001,1000.0
1.408,1000.0
1.424,1000.0
1.44,1000.0
1.456,1000.0
1.472,1000.0
1.488,1000.0
1.504,1000.0
1.52,1000.0
1.536,1000.0
1.552,1000.0
1.568,1000.0
1.584,1000.0
1.6,1000.0
1.616,1000.0
1.6320000000000001,1000.0
1.6480000000000001,1000.0
1.6640000000000001,1000.0
1.68,1000.0
1.696,1000.0
1.712,1000.0
1.728,1000.0
1.744,1000.0
1.76,1000.0
1.776,1000.0
1.792,1000.0
1.808,1000.0
1.824,1000.0
1.84,1000.0
1.856,1000.0
1.872,1000.0
1.8880000000000001,1000.0
1.9040000000000001,1000.0
1.92,1000.0
1.936,1000.0
1.952,1000.0
1.968,1000.0
1.984,1000.0
2.0,1000.0
2.016,1000.0
