sim_time,value
0.016,0.0
0.032,-4.674894e-09
0.048,-6.078134e-09
0.064,-7.989271e-09
0.08,-9.942779e-09
0.096,-1.1905761e-08
0.112,-1.3874879e-08
0.128,-1.5849235e-08
0.14400000000000002,-1.7828622e-08
0.16,-1.9813289e-08
0.176,-2.1803771e-08
0.192,-2.3800784e-08
0.20800000000000002,-2.5805148e-08
0.224,-2.7817764e-08
0.24,-2.9839573e-08
0.256,-3.1871554e-08
0.272,-3.3914716e-08
0.28800000000000003,-3.5970082e-08
0.304,-3.8038717e-08
0.32,-4.0121684e-08
0.336,-4.2220087e-08
0.352,-4.4335046e-08
0.368,-4.6467694e-08
0.384,-4.86192e-08
0.4,-5.0790753e-08
0.41600000000000004,-5.2983573e-08
0.432,0.10039717
0.448,0.2007983
0.464,0.30120286
0.48,0.40160933
0.496,0.5020158
0.512,0.6024221
0.528,0.7028283
0.544,0.80323434
0.56,0.9036402
0.5760000000000001,1.004046
0.592,1.1044517
0.608,1.2048572
0.624,1.3052626
0.64,1.4056679
0.656,1.5060666
0.672,1.6064649
0.6880000000000001,1.7068628
0.704,1.8072603
0.72,1.9076568
0.736,2.0080523
0.752,2.1084468
0.768,2.2088408
0.784,2.3092346
0.8,2.409628
0.8160000000000001,2.5100212
0.8320000000000001,2.6104145
0.848,2.7108076
0.864,2.8112006
0.88,2.9115934
0.896,3.0119863
0.912,3.1123788
0.928,3.2127712
0.9440000000000001,3.3131638
0.96,3.4135559
0.976,3.513948
0.992,3.61434
1.008,3.714732
1.024,3.8151238
1.04,3.9155154
1.056,4.015907
1.072,4.116298
1.088,4.216689
1.104,4.3170805
1.12,4.4174714
1.1360000000000001,4.517862
1.1520000000000001,4.4174595
1.168,4.317056
1.184,4.417445
1.2,4.5178347
1.216,4.6182246
1.232,4.7186146
1.248,4.819004
1.264,4.919393
1.28,5.0197825
1.296,5.1201715
1.312,5.22056
1.328,5.320949
1.344,5.421337
1.36,5.5217257
1.3760000000000001,5.622115
1.3920000000000001,5.7225065
1.408,5.8228993
1.424,5.9232945
1.44,6.0236907
1.456,6.1240873
1.472,6.2244844
1.488,6.3248816
1.504,6.425278
1.52,6.3248825
1.536,6.2244864
1.552,6.324884
1.568,6.4252825
1.584,6.525681
1.6,6.626079
1.616,6.7264767
1.6320000000000001,6.8268747
1.6480000000000001,6.9272723
1.6640000000000001,7.0276694
1.68,6.9272738
1.696,6.8268766
1.712,6.726479
1.728,6.826874
1.744,6.9272695
1.76,7.0276656
1.776,7.128062
1.792,7.027664
1.808,6.9272656
1.824,6.826867
1.84,6.7264686
1.856,6.62607
1.872,6.525672
1.8880000000000001,6.4252753
1.9040000000000001,6.3248844
1.92,6.22447
1.936,6.3248777
1.952,6.425275
1.968,6.5256786
1.984,6.626084
2.0,6.7264895
2.016,6.6261024
2.032,6.525715
2.048,6.425327
2.064,6.324943
2.08,6.2245407
2.096,6.1241546
2.112,6.023765
2.128,5.923375
2.144,5.8229847
2.16,5.722594
2.176,5.6222024
2.192,5.521811
2.208,5.4214196
2.224,5.3210278
2.24,5.220636
2.2560000000000002,5.120244
2.2720000000000002,5.0198517
2.2880000000000003,5.1202254
2.3040000000000003,5.2206044
2.32,5.320988
2.336,5.4213758
2.352,5.521766
2.368,5.622159
2.384,5.7225537
2.4,5.82295
2.416,5.923347
2.432,6.023744
2.448,6.124139
2.464,6.2245164
2.48,6.325004
2.496,6.4253693
2.512,6.5257645
2.528,6.6261635
2.544,6.726564
2.56,6.8269644
2.576,6.927365
2.592,7.0277653
2.608,6.927373
2.624,6.826979
2.64,6.7265854
2.656,6.6261916
2.672,6.5257983
2.688,6.425408
2.704,6.32504
2.72,6.224578
2.736,6.1241994
2.7520000000000002,6.0238075
2.7680000000000002,5.9234133
2.7840000000000003,5.823018
2.8000000000000003,5.7226224
2.816,5.6222267
2.832,5.5218306
2.848,5.4214344
2.864,5.3210382
2.88,5.220642
2.896,5.1202455
2.912,5.220599
2.928,5.3209605
2.944,5.4213276
2.96,5.5216994
2.976,5.622076
2.992,5.7224555
3.008,5.822838
3.024,5.9232206
3.04,6.0236025
