sim_time,value
0.016,1.3847817e-22
0.032,-3.5086767e-09
0.048,-4.634174e-09
0.064,-6.10373e-09
0.08,-7.59142e-09
0.096,-9.086344e-09
0.112,-1.0592044e-08
0.128,-1.2110252e-08
0.14400000000000002,-1.3641662e-08
0.16,-1.518665e-08
0.176,-1.6745563e-08
0.192,-1.8318794e-08
0.20800000000000002,-1.9906807e-08
0.224,-2.1510118e-08
0.24,-2.3129306e-08
0.256,-2.4764983e-08
0.272,-2.6417787e-08
0.28800000000000003,-2.8088394e-08
0.304,-2.9777478e-08
0.32,-3.148574e-08
0.336,-3.321388e-08
0.352,-3.4962603e-08
0.368,-3.6732633e-08
0.384,-3.8524675e-08
0.4,-4.033944e-08
0.41600000000000004,-4.2177646e-08
0.432,0.10039722
0.448,0.20079838
0.464,0.30120292
0.48,0.40160942
0.496,0.50201595
0.512,0.6024223
0.528,0.7028285
0.544,0.80323464
0.56,0.90364057
0.5760000000000001,1.0040464
0.592,1.1044521
0.608,1.2048577
0.624,1.3052632
0.64,1.4056686
0.656,1.5060672
0.672,1.6064656
0.6880000000000001,1.7068635
0.704,1.807261
0.72,1.9076576
0.736,2.0080533
0.752,2.108448
0.768,2.208842
0.784,2.3092358
0.8,2.409629
0.8160000000000001,2.5100226
0.8320000000000001,2.6104157
0.848,2.710809
0.864,2.811202
0.88,2.9115949
0.896,3.0119877
0.912,3.1123803
0.928,3.2127728
0.9440000000000001,3.3131652
0.96,3.4135575
0.976,3.5139496
0.992,3.6143415
1.008,3.7147334
1.024,3.815125
1.04,3.9155166
1.056,4.0159082
1.072,4.116299
1.088,4.2166905
1.104,4.3170815
1.12,4.4174724
1.1360000000000001,4.517863
1.1520000000000001,4.61825
1.168,4.718636
1.184,4.819026
1.2,4.9194164
1.216,5.0198064
1.232,5.120196
1.248,5.2205853
1.264,5.320975
1.28,5.421364
1.296,5.521753
1.312,5.6221414
1.328,5.7225304
1.344,5.8229184
1.36,5.9233065
1.3760000000000001,6.0236964
1.3920000000000001,6.1240873
1.408,6.2244806
1.424,6.3248754
1.44,6.4252715
1.456,6.525668
1.472,6.626065
1.488,6.726462
1.504,6.826859
1.52,6.9272532
1.536,7.0276475
1.552,7.1280465
1.568,7.228445
1.584,7.328843
1.6,7.4292417
1.616,7.5296392
1.6320000000000001,7.6300373
1.6480000000000001,7.730435
1.6640000000000001,7.8308325
1.68,7.9312263
1.696,8.031619
1.712,8.132011
1.728,8.232409
1.744,8.332805
1.76,8.433201
1.776,8.533597
1.792,8.633989
1.808,8.734382
1.824,8.834772
1.84,8.9351635
1.856,9.035555
1.872,9.135947
1.8880000000000001,9.23634
1.9040000000000001,9.336732
1.92,9.437125
1.936,9.537523
1.952,9.637924
1.968,9.738329
1.984,9.838735
2.0,9.939141
2.016,10.039543
2.032,10.139945
2.048,10.240346
2.064,10.340747
2.08,10.441146
2.096,10.541544
2.112,10.641941
2.128,10.742337
2.144,10.842732
2.16,10.943127
2.176,11.04352
2.192,11.143911
2.208,11.244302
2.224,11.344691
2.24,11.445078
2.2560000000000002,11.5454645
2.2720000000000002,11.645848
2.2880000000000003,11.746239
2.3040000000000003,11.846632
2.32,11.947027
2.336,12.047422
2.352,12.147818
2.368,12.248213
2.384,12.348602
2.4,12.448976
2.416,12.54902
2.432,12.649925
2.448,12.75028
2.464,12.850669
2.48,12.951065
2.496,13.051463
2.512,13.151863
2.528,13.252263
2.544,13.352664
2.56,13.453065
2.576,13.553465
2.592,13.653866
2.608,13.754263
2.624,13.854659
2.64,13.955054
2.656,14.055449
2.672,14.155842
2.688,14.256234
2.704,14.356626
2.72,14.457016
2.736,14.5574045
2.7520000000000002,14.657792
2.7680000000000002,14.758179
2.7840000000000003,14.858564
2.8000000000000003,14.958949
2.816,15.059332
2.832,15.159714
2.848,15.260095
2.864,15.360474
2.88,15.460852
2.896,15.561228
2.912,15.6616125
2.928,15.762
2.944,15.86239
2.96,15.962781
2.976,16.063173
2.992,16.163565
3.008,16.26396
3.024,16.364353
3.04,16.464748
3.056,16.565142
3.072,16.665537
3.088,16.765932
3.104,16.866327
3.12,16.966724
3.136,17.06712
3.152,17.167515
3.168,17.26791
3.184,17.368305
3.2,17.4687
3.216,17.569096
3.232,17.669489
3.248,17.769884
3.2640000000000002,17.870277
