sim_time,value_0,value_1,value_2
0.016,-8.0254815e-23,7.757345e-19,1.5707903
0.032,-1.16540015e-07,0.00014576598,1.5707903
0.048,1.3035646e-05,0.0003360934,1.5707903
0.064,2.9451394e-05,0.0005863863,1.5707903
0.08,4.495151e-05,0.00089798216,1.5707903
0.096,5.806832e-05,0.0012712616,1.5707903
0.112,6.853549e-05,0.001706549,1.5707903
0.128,7.6571065e-05,0.0022041798,1.5707903
0.14400000000000002,8.254788e-05,0.0027645088,1.5707903
0.16,8.6850436e-05,0.0033879138,1.5707903
0.176,8.981972e-05,0.0040747984,1.5707903
0.192,9.173785e-05,0.004825594,1.5707903
0.20800000000000002,9.282963e-05,0.005640763,1.5707903
0.224,9.327027e-05,0.006520799,1.5707903
0.24,9.319443e-05,0.0074662287,1.5707903
0.256,9.2704664e-05,0.008477613,1.5707903
0.272,9.1878566e-05,0.00955555,1.5707902
0.28800000000000003,9.077458e-05,0.010700671,1.5707902
0.304,8.9436515e-05,0.011913646,1.5707902
0.32,8.789709e-05,0.013195182,1.5707902
0.336,8.618062e-05,0.014546027,1.5707902
0.352,8.430506e-05,0.015966965,1.5707902
0.368,8.228358e-05,0.01745882,1.57079
0.384,8.012569e-05,0.019022457,1.57079
0.4,7.7838195e-05,0.020658785,1.57079
0.41600000000000004,7.542577e-05,0.02236875,1.5707899
0.432,-1.816092e-05,0.021433724,1.5708745
0.448,-0.0001474849,0.019056574,1.5709991
0.464,-0.00028973754,0.015235551,1.5711406
0.48,-0.00043410962,0.010635291,1.5711769
0.496,-0.0005752414,0.006101593,1.5712262
0.512,-0.00071049004,0.0016323943,1.5712888
0.528,-0.0008381889,-0.0027748672,1.5713639
0.544,-0.0009571344,-0.0071227322,1.5714502
0.56,-0.0010663511,-0.01141365,1.571547
0.5760000000000001,-0.0011649902,-0.015650027,1.5716532
0.592,-0.0012522916,-0.019834228,1.5717677
0.608,-0.0013275737,-0.023968577,1.5718892
0.624,-0.0013902376,-0.028055364,1.5720166
0.64,-0.0014397751,-0.03209684,1.5721487
0.656,-0.0014537957,-0.03331505,1.5723364
0.672,-0.0014656885,-0.034500334,1.572431
0.6880000000000001,-0.0014646618,-0.03552448,1.5725259
0.704,-0.0014505233,-0.03635065,1.5726254
0.72,-0.0014237205,-0.036820263,1.5727377
0.736,-0.0013849846,-0.036835067,1.5728612
0.752,-0.0013346705,-0.036500942,1.572985
0.768,-0.0012725114,-0.03591618,1.57311
0.784,-0.0011983755,-0.035166904,1.5732316
0.8,-0.0011121001,-0.03432536,1.5733378
0.8160000000000001,-0.0010140418,-0.033440612,1.5734338
0.8320000000000001,-0.00090442604,-0.032511793,1.5735197
0.848,-0.00078418764,-0.03153826,1.5735947
0.864,-0.00065464224,-0.030519357,1.5736582
0.88,-0.00051729375,-0.02945444,1.5737094
0.896,-0.0003737403,-0.028342849,1.5737475
0.912,-0.00022562746,-0.027183797,1.5737718
0.928,-7.462198e-05,-0.025976505,1.5737817
0.9440000000000001,7.760594e-05,-0.024720244,1.5737772
0.96,0.00022939574,-0.023414284,1.5737581
0.976,0.0003791086,-0.0220579,1.5737246
0.992,0.0005251397,-0.020650368,1.5736771
1.008,0.00066593307,-0.01919104,1.5736165
1.024,0.0007999925,-0.017679181,1.5735438
1.04,0.00092589477,-0.01611397,1.5734599
1.056,0.0010423029,-0.014494581,1.5733656
1.072,0.001147978,-0.012820191,1.573262
1.088,0.0012417927,-0.011089961,1.5731502
1.104,0.0013227417,-0.009303029,1.5730312
1.12,0.0013899534,-0.0074585066,1.5729061
1.1360000000000001,0.0014426978,-0.0055554803,1.5727763
1.1520000000000001,0.0014160738,-0.0023320105,1.5711384
1.168,0.0013580559,0.0011054493,1.5680996
1.184,0.0013678666,0.0033238803,1.5664217
1.2,0.0014014164,0.005485192,1.5661362
1.216,0.0014366942,0.0077018808,1.5659977
1.232,0.0014628285,0.009986184,1.5658648
1.248,0.001474854,0.012338634,1.5657306
1.264,0.0014707039,0.014760411,1.5655963
1.28,0.0014497512,0.017252743,1.5654634
1.296,0.001412102,0.019816905,1.5653332
1.312,0.0013582576,0.022454219,1.5652069
1.328,0.0012889563,0.025166059,1.5650858
1.344,0.0012051004,0.027953852,1.5649711
1.36,0.0011077235,0.03081908,1.5648639
1.3760000000000001,0.0009994141,0.03309721,1.5651795
1.3920000000000001,0.0008719307,0.034735456,1.5654961
1.408,0.00073658547,0.035686143,1.565793
1.424,0.0005982406,0.0358883,1.5660716
1.44,0.0004575098,0.0356091,1.5662013
1.456,0.00031321027,0.03515069,1.566166
1.472,0.00016675245,0.034603033,1.5661393
1.488,1.9018475e-05,0.03402405,1.5661258
1.504,-0.00012897392,0.03345829,1.5661259
1.52,-7.4767e-05,0.033916943,1.5654507
1.536,4.299934e-05,0.034284852,1.5640808
1.552,-1.3768458e-05,0.033030443,1.5638684
1.568,-0.00012243519,0.03184054,1.5638665
1.584,-0.0002547561,0.030729966,1.5638816
1.6,-0.00039584914,0.02969807,1.563911
1.616,-0.0005378264,0.028744228,1.5639542
1.6320000000000001,-0.0006762588,0.027867964,1.5640107
1.6480000000000001,-0.0008084239,0.0270688,1.5640798
1.6640000000000001,-0.0009324528,0.026346255,1.5641601
1.68,-0.00090864656,0.026925465,1.5628753
1.696,-0.0008222865,0.02772534,1.560279
1.712,-0.00070745114,0.028751403,1.5563366
1.728,-0.0007380739,0.02853408,1.5539469
1.744,-0.0008225467,0.028288092,1.5530294
1.76,-0.0009253368,0.028033605,1.553094
1.776,-0.0010332034,0.02785625,1.5531862
1.792,-0.0010125495,0.028984573,1.5518783
1.808,-0.0009359504,0.030336881,1.5492386
1.824,-0.0008331651,0.031918455,1.5452375
1.84,-0.00061384524,0.033362392,1.5410672
1.856,-0.00044252785,0.03474889,1.5365976
1.872,-0.00029181354,0.036036596,1.5319531
1.8880000000000001,-0.0001493676,0.037200276,1.5272309
1.9040000000000001,-7.120699e-06,0.038224414,1.5225
1.92,0.00015105808,0.03910268,1.517802
1.936,-8.133576e-05,0.03794649,1.5137091
1.952,-0.00022789939,0.03562059,1.5097365
1.968,-0.00032664422,0.031858504,1.5058398
