sim_time,value_0,value_1,value_2
0.016,3.7131255,-2.6173768,0.18207505
0.032,0.0001422805,-0.17870227,23.164318
0.048,-0.01648214,-0.053425696,7.087523
0.064,-0.0038102926,-0.06937934,9.503681
0.08,0.0015761356,-0.06793396,9.69572
0.096,0.003542815,-0.064752646,9.727936
0.112,0.00398004,-0.060896605,9.745199
0.128,0.0037872565,-0.056439582,9.758358
0.14400000000000002,0.0033805002,-0.051388457,9.768787
0.16,0.0029425498,-0.045744773,9.777077
0.176,0.0025458334,-0.03950879,9.783658
0.192,0.002212318,-0.0326798,9.788877
0.20800000000000002,0.0019422816,-0.025256217,9.793003
0.224,0.0017278211,-0.01723565,9.796256
0.24,0.0015589419,-0.008614983,9.798807
0.256,0.0014261068,0.00060955907,9.800793
0.272,0.0013211354,0.010442355,9.802322
0.28800000000000003,0.0012373739,0.020888338,9.803481
0.304,0.0011695683,0.03195296,9.8043375
0.32,0.0011136426,0.04364215,9.804944
0.336,0.0010664691,0.055962298,9.805343
0.352,0.0010256638,0.06892025,9.805566
0.368,0.000989417,0.08252325,9.805639
0.384,0.000956358,0.09677897,9.805581
0.4,0.00092545024,0.111695476,9.805407
0.41600000000000004,0.0008959094,0.12728125,9.805126
0.432,0.11427476,-8.128225,10.127162
0.448,0.04531685,-8.801599,10.00876
0.464,0.014666454,-8.834442,9.962064
0.48,-1.4017006e-05,-4.9695544,9.858712
0.496,-0.008475594,-0.03733017,9.788858
0.512,-0.012750455,-0.0716229,9.786746
0.528,-0.015739683,-0.11153451,9.786483
0.544,-0.018091206,-0.15098855,9.786126
0.56,-0.020093543,-0.18955997,9.785575
0.5760000000000001,-0.021855604,-0.22755262,9.784849
0.592,-0.02341736,-0.2649984,9.783972
0.608,-0.02478364,-0.30192795,9.782966
0.624,-0.025944667,-0.33837128,9.781849
0.64,-0.026886009,-0.37435788,9.780637
0.656,0.035400894,8.084258,10.570083
0.672,-0.08642843,-4.3308854,9.383696
0.6880000000000001,-0.034193374,-3.8643513,9.642691
0.704,-0.032973636,-3.70291,9.654559
0.72,-0.027203618,-2.3516812,9.686742
0.736,-0.023199877,-0.95121175,9.727093
0.752,-0.02479423,-0.7903089,9.7428875
0.768,-0.024027672,-0.65870774,9.758322
0.784,-0.023778083,-0.54622114,9.771808
0.8,-0.019317547,-0.45099166,9.783261
0.8160000000000001,-0.01920494,-0.37543085,9.795995
0.8320000000000001,-0.019007085,-0.36646503,9.817258
0.848,-0.017081585,-0.3570254,9.8155155
0.864,-0.014623995,-0.34721163,9.813112
0.88,-0.011884107,-0.33728436,9.811387
0.896,-0.009002913,-0.3270523,9.810294
0.912,-0.0060445294,-0.31588757,9.809728
0.928,-0.0030741263,-0.3044541,9.809556
0.9440000000000001,-0.00012677665,-0.2929364,9.809687
0.96,0.0027925859,-0.28104213,9.810055
0.976,0.0056601977,-0.26876283,9.810598
0.992,0.008451963,-0.2560906,9.811266
1.008,0.01112989,-0.24358843,9.812001
1.024,0.013720816,-0.23027822,9.81279
1.04,0.01617454,-0.21617399,9.813598
1.056,0.018469213,-0.2017277,9.814384
1.072,0.020580791,-0.18702824,9.815127
1.088,0.022478804,-0.17188609,9.815806
1.104,0.024143415,-0.15628682,9.816404
1.12,0.025557375,-0.14021562,9.816904
1.1360000000000001,0.026705988,-0.12365686,9.817291
