sim_time,value_0,value_1
0.016,0.0,0.0
0.032,0.0,0.0
0.048,0.0,0.0
0.064,0.0,0.0
0.08,0.0,0.0
0.096,0.0,0.0
0.112,0.0,0.0
0.128,0.0,0.0
0.14400000000000002,0.0,0.0
0.16,0.0,0.0
0.176,0.0,0.0
0.192,0.0,0.0
0.20800000000000002,0.0,0.0
0.224,0.0,0.0
0.24,0.0,0.0
0.256,0.0,0.0
0.272,0.0,0.0
0.28800000000000003,0.0,0.0
0.304,0.0,0.0
0.32,0.0,0.0
0.336,0.0,0.0
0.352,0.0,0.0
0.368,0.0,0.0
0.384,0.0,0.0
0.4,0.0,0.0
0.41600000000000004,6.28,6.28
0.432,6.28,6.28
0.448,6.28,6.28
0.464,6.28,6.28
0.48,6.28,6.28
0.496,6.28,6.28
0.512,6.28,6.28
0.528,6.28,6.28
0.544,6.28,6.28
0.56,6.28,6.28
0.5760000000000001,6.28,6.28
0.592,6.28,6.28
0.608,6.28,6.28
0.624,6.28,6.28
0.64,6.28,6.28
0.656,6.28,6.28
0.672,6.28,6.28
0.6880000000000001,6.28,6.28
0.704,6.28,6.28
0.72,6.28,6.28
0.736,6.28,6.28
0.752,6.28,6.28
0.768,6.28,6.28
0.784,6.28,6.28
0.8,6.28,6.28
0.8160000000000001,6.28,6.28
0.8320000000000001,6.28,6.28
0.848,6.28,6.28
0.864,6.28,6.28
0.88,6.28,6.28
0.896,6.28,6.28
0.912,6.28,6.28
0.928,6.28,6.28
0.9440000000000001,6.28,6.28
0.96,6.28,6.28
0.976,6.28,6.28
0.992,6.28,6.28
1.008,6.28,6.28
1.024,6.28,6.28
1.04,6.28,6.28
1.056,6.28,6.28
1.072,6.28,6.28
1.088,6.28,6.28
1.104,6.28,6.28
1.12,6.28,6.28
1.1360000000000001,6.28,-6.28
1.1520000000000001,6.28,-6.28
1.168,6.28,6.28
1.184,6.28,6.28
1.2,6.28,6.28
1.216,6.28,6.28
1.232,6.28,6.28
1.248,6.28,6.28
1.264,6.28,6.28
1.28,6.28,6.28
1.296,6.28,6.28
1.312,6.28,6.28
1.328,6.28,6.28
1.344,6.28,6.28
1.36,6.28,6.28
1.3760000000000001,6.28,6.28
1.3920000000000001,6.28,6.28
1.408,6.28,6.28
1.424,6.28,6.28
1.44,6.28,6.28
1.456,6.28,6.28
1.472,6.28,6.28
1.488,6.28,6.28
1.504,6.28,-6.28
1.52,6.28,-6.28
1.536,6.28,6.28
1.552,6.28,6.28
1.568,6.28,6.28
1.584,6.28,6.28
1.6,6.28,6.28
1.616,6.28,6.28
1.6320000000000001,6.28,6.28
1.6480000000000001,6.28,6.28
1.6640000000000001,6.28,-6.28
1.68,6.28,-6.28
1.696,6.28,-6.28
1.712,6.28,6.28
1.728,6.28,6.28
1.744,6.28,6.28
1.76,6.28,6.28
1.776,6.28,-6.28
1.792,6.28,-6.28
1.808,6.28,-6.28
1.824,6.28,-6.28
1.84,6.28,-6.28
1.856,6.28,-6.28
1.872,6.28,-6.28
1.8880000000000001,6.28,-6.28
1.9040000000000001,6.28,-6.28
1.92,6.28,6.28
1.936,6.28,6.28
1.952,6.28,6.28
1.968,6.28,6.28
1.984,6.28,6.28
2.0,6.28,-6.28
2.016,6.28,-6.28
2.032,6.28,-6.28
2.048,6.28,-6.28
2.064,6.28,-6.28
2.08,6.28,-6.28
2.096,6.28,-6.28
2.112,6.28,-6.28
2.128,6.28,-6.28
2.144,6.28,-6.28
2.16,6.28,-6.28
2.176,6.28,-6.28
2.192,6.28,-6.28
2.208,6.28,-6.28
2.224,6.28,-6.28
2.24,6.28,-6.28
2.2560000000000002,6.28,-6.28
2.2720000000000002,6.28,6.28
2.2880000000000003,6.28,6.28
2.3040000000000003,6.28,6.28
2.32,6.28,6.28
2.336,6.28,6.28
2.352,6.28,6.28
2.368,6.28,6.28
2.384,6.28,6.28
2.4,6.28,6.28
2.416,6.28,6.28
2.432,6.28,6.28
2.448,6.28,6.28
2.464,6.28,6.28
2.48,6.28,6.28
2.496,6.28,6.28
2.512,6.28,6.28
2.528,6.28,6.28
2.544,6.28,6.28
2.56,6.28,6.28
2.576,6.28,6.28
2.592,6.28,-6.28
2.608,6.28,-6.28
2.624,6.28,-6.28
2.64,6.28,-6.28
2.656,6.28,-6.28
2.672,6.28,-6.28
2.688,6.28,-6.28
2.704,6.28,-6.28
2.72,6.28,-6.28
2.736,6.28,-6.28
2.7520000000000002,6.28,-6.28
2.7680000000000002,6.28,-6.28
2.7840000000000003,6.28,-6.28
2.8000000000000003,6.28,-6.28
2.816,6.28,-6.28
2.832,6.28,-6.28
2.848,6.28,-6.28
2.864,6.28,-6.28
2.88,6.28,-6.28
2.896,6.28,6.28
2.912,6.28,6.28
2.928,6.28,6.28
2.944,6.28,6.28
2.96,6.28,6.28
2.976,6.28,6.28
2.992,6.28,6.28
3.008,6.28,6.28
3.024,6.28,6.28
3.04,6.28,6.28
3.056,6.28,6.28
3.072,6.28,6.28
3.088,6.28,6.28
3.104,6.28,6.28
3.12,6.28,6.28
3.136,6.28,6.28
3.152,6.28,6.28
3.168,6.28,6.28
3.184,6.28,6.28
3.2,6.28,6.28
3.216,6.28,6.28
3.232,6.28,6.28
3.248,6.28,6.28
3.2640000000000002,6.28,6.28
3.2800000000000002,6.28,6.28
3.2960000000000003,6.28,6.28
3.3120000000000003,6.28,-6.28
3.3280000000000003,6.28,-6.28
