sim_time,value
0.016,385.66055
0.032,385.7388
0.048,385.76306
0.064,385.78305
0.08,385.80237
0.096,385.8215
0.112,385.8408
0.128,385.86053
0.14400000000000002,385.88104
0.16,385.9025
0.176,385.92514
0.192,385.94907
0.20800000000000002,385.97443
0.224,386.00134
0.24,386.02988
0.256,386.0601
0.272,386.09207
0.28800000000000003,386.12585
0.304,386.16147
0.32,386.19894
0.336,386.23837
0.352,386.27972
0.368,386.3231
0.384,386.36844
0.4,386.4158
0.41600000000000004,386.46527
0.432,386.6894
0.448,387.11536
0.464,387.75015
0.48,388.52286
0.496,389.29752
0.512,390.07407
0.528,390.8528
0.544,391.63403
0.56,392.4179
0.5760000000000001,393.20462
0.592,393.9944
0.608,394.78735
0.624,395.58374
0.64,396.3837
0.656,396.9894
0.672,397.70013
0.6880000000000001,398.49817
0.704,399.37952
0.72,400.31003
0.736,401.25568
0.752,402.21454
0.768,403.18384
0.784,404.16193
0.8,405.14896
0.8160000000000001,406.1426
0.8320000000000001,407.1433
0.848,408.15103
0.864,409.1657
0.88,410.18723
0.896,411.21542
0.912,412.25027
0.928,413.2916
0.9440000000000001,414.33923
0.96,415.3929
0.976,416.45248
0.992,417.51764
1.008,418.58807
1.024,419.66345
1.04,420.74347
1.056,421.82782
1.072,422.91617
1.088,424.00827
1.104,425.1038
1.12,426.20248
1.1360000000000001,427.30405
1.1520000000000001,428.6302
1.168,430.1367
1.184,431.43967
1.2,432.56323
1.216,433.67117
1.232,434.78098
1.248,435.8931
1.264,437.00705
1.28,438.12256
1.296,439.2394
1.312,440.35748
1.328,441.4767
1.344,442.597
1.36,443.7183
1.3760000000000001,444.67224
1.3920000000000001,445.57828
1.408,446.4769
1.424,447.41623
1.44,448.40372
1.456,449.41144
1.472,450.4156
1.488,451.4178
1.504,452.4197
1.52,453.52298
1.536,454.66602
1.552,455.6805
1.568,456.6664
1.584,457.65085
1.6,458.6361
1.616,459.6232
1.6320000000000001,460.61273
1.6480000000000001,461.60498
1.6640000000000001,462.6003
1.68,463.79755
1.696,465.14117
1.712,466.6203
1.728,467.88788
1.744,468.98444
1.76,469.97656
1.776,470.96698
1.792,472.1445
1.808,473.45502
1.824,474.88647
1.84,476.30417
1.856,477.621
1.872,478.82303
1.8880000000000001,479.89664
1.9040000000000001,480.83505
1.92,481.6491
1.936,482.23883
1.952,483.0058
1.968,483.99396
1.984,484.9389
2.0,485.76343
2.016,486.7235
2.032,487.77338
2.048,488.89746
2.064,490.08093
2.08,491.30872
2.096,492.56174
2.112,493.8167
2.128,495.04602
2.144,496.21765
2.16,497.29498
2.176,498.23666
2.192,498.9967
2.208,499.52417
2.224,499.76334
2.24,499.65375
2.2560000000000002,499.1301
2.2720000000000002,498.12265
2.2880000000000003,496.58646
2.3040000000000003,494.78516
2.32,492.78146
2.336,490.6384
2.352,488.41678
2.368,486.17377
2.384,483.96225
2.4,481.83035
2.416,479.82144
2.432,477.97382
2.448,476.3208
2.464,474.89062
2.48,473.70645
2.496,472.78632
2.512,472.09158
2.528,471.39566
2.544,470.69235
2.56,469.98224
2.576,469.2652
2.592,468.54163
2.608,467.5259
2.624,466.22498
2.64,464.61072
2.656,462.65744
2.672,460.33853
2.688,457.62524
2.704,454.48593
2.72,450.88605
2.736,446.78806
2.7520000000000002,442.1518
2.7680000000000002,436.9347
2.7840000000000003,431.0923
2.8000000000000003,424.57846
2.816,417.34622
2.832,409.34808
2.848,400.53693
2.864,390.8665
2.88,380.29236
2.896,368.77267
2.912,357.08798
2.928,345.60178
2.944,334.39154
2.96,323.5273
2.976,313.07233
2.992,303.08304
3.008,293.6091
3.024,284.69403
3.04,276.37527
3.056,268.68488
3.072,261.64972
3.088,255.2921
3.104,249.63002
3.12,244.67763
3.136,240.44553
3.152,236.94109
3.168,234.16875
3.184,232.13022
3.2,230.58406
3.216,229.09808
3.232,227.62074
3.248,226.15103
3.2640000000000002,224.68916
3.2800000000000002,223.2353
3.2960000000000003,221.78986
3.3120000000000003,220.35277
3.3280000000000003,218.16516
3.344,215.32564
3.36,212.63156
3.376,210.34128
3.392,208.55316
3.408,207.21541
3.424,205.35722
3.44,203.08252
3.456,200.71352
3.472,198.99672
3.488,197.7551
3.504,195.84958
3.52,193.34328
3.536,190.26169
3.552,187.59067
3.568,185.6371
3.584,182.93546
3.6,179.57373
3.616,175.55888
3.632,170.89697
3.648,165.59726
3.664,159.68568
3.68,153.38597
3.696,146.73473
3.712,139.76866
3.728,132.51761
3.744,125.00595
3.7600000000000002,117.25327
3.7760000000000002,109.27459
3.7920000000000003,101.07591
3.8080000000000003,92.65759
3.8240000000000003,88.34219
3.84,84.20222
3.856,79.94186
3.872,75.55237
3.888,71.03033
3.904,66.62401
3.92,62.49359
3.936,58.238243
3.952,53.75188
3.968,49.00142
3.984,43.962288
4.0,38.615746
4.016,32.947872
4.032,26.948788
4.048,20.612127
4.064,13.934712
4.08,6.916391
4.096,0.0
4.112,0.0
4.128,0.0
4.144,0.0
4.16,0.0
4.176,0.0
4.192,0.0
4.208,0.0
4.224,0.0
4.24,0.0
4.256,0.0
4.272,0.0
4.288,0.0
4.304,0.0
4.32,0.0
4.336,0.0
4.352,0.0
4.368,0.0
4.384,0.0
4.4,0.0
4.416,0.0
4.432,0.0
4.448,0.0
4.464,0.0
4.48,0.0
4.496,0.0
4.5120000000000005,0.0
4.5280000000000005,0.0
4.5440000000000005,0.0
4.5600000000000005,2.335196
4.5760000000000005,28.527988
4.5920000000000005,53.553658
4.6080000000000005,77.345184
4.624,99.85504
4.64,121.04794
4.656,140.89767
4.672,159.38507
4.688,176.4968
4.704,192.22438
4.72,206.56335
4.736,219.51271
4.752,230.86345
4.768,240.59853
4.784,248.73117
4.8,255.27856
4.816,260.25958
4.832,263.69397
4.848,265.6018
4.864,266.00333
4.88,264.91867
4.896,262.36792
4.912,258.37112
4.928,252.94844
4.944,246.12053
4.96,237.86911
4.976,228.22366
4.992,217.23763
5.008,204.9239
5.024,191.29776
5.04,176.37708
5.056,160.18289
5.072,142.7398
5.088,124.076546
5.104,104.226654
5.12,83.22892
5.136,61.127983
5.152,38.00704
5.168,13.84522
5.184,0.0
5.2,0.0
5.216,0.0
5.232,0.0
5.248,0.0
5.264,0.0
5.28,0.0
5.296,0.0
5.312,0.0
5.328,0.0
5.344,0.0
5.36,0.0
5.376,0.0
5.392,0.0
5.408,0.0
5.424,0.0
5.44,0.0
5.456,0.0
5.472,0.0
5.488,0.0
5.5040000000000004,0.0
5.5200000000000005,0.0
5.5360000000000005,0.0
5.5520000000000005,0.0
5.5680000000000005,0.0
5.5840000000000005,0.0
5.6000000000000005,0.0
5.6160000000000005,0.0
5.632,0.0
5.648,0.0
5.664,0.0
5.68,0.0
5.696,0.0
5.712,0.0
5.728,0.0
5.744,0.0
5.76,0.0
5.776,0.0
