sim_time,value_0,value_1,value_2
0.016,-2.0,-3.0,0.31748864
0.032,-2.0,-2.9999535,0.31839597
0.048,-1.9999958,-2.9998925,0.31860635
0.064,-1.9999906,-2.9998124,0.3187383
0.08,-1.9999856,-2.9997127,0.31884098
0.096,-1.9999814,-2.9995933,0.31892264
0.112,-1.9999781,-2.999454,0.31898767
0.128,-1.9999754,-2.9992948,0.31903943
0.14400000000000002,-1.9999735,-2.9991155,0.31908062
0.16,-1.9999722,-2.998916,0.3191133
0.176,-1.9999713,-2.998696,0.31913918
0.192,-1.9999707,-2.998456,0.3191596
0.20800000000000002,-1.9999703,-2.9981952,0.31917557
0.224,-1.9999702,-2.9979134,0.31918797
0.24,-1.9999702,-2.9976108,0.3191974
0.256,-1.9999703,-2.9972873,0.31920436
0.272,-1.9999706,-2.9969423,0.3192093
0.28800000000000003,-1.9999709,-2.9965758,0.31921247
0.304,-1.9999714,-2.9961877,0.3192141
0.32,-1.9999719,-2.9957776,0.3192144
0.336,-1.9999723,-2.9953454,0.31921342
0.352,-1.9999729,-2.9948907,0.31921127
0.368,-1.9999737,-2.9944134,0.319208
0.384,-1.9999744,-2.993913,0.31920362
0.4,-1.9999751,-2.9933894,0.3191981
0.41600000000000004,-1.9999758,-2.9928422,0.31919146
0.432,-2.000006,-2.990159,0.3192208
0.448,-2.0000489,-2.9851747,0.31925762
0.464,-2.0000968,-2.9778905,0.31929862
0.48,-2.0001464,-2.969308,0.3193384
0.496,-2.0001953,-2.9607003,0.31937268
0.512,-2.0002427,-2.9520702,0.319401
0.528,-2.0002882,-2.9434187,0.31942332
0.544,-2.0003316,-2.9347463,0.31943974
0.56,-2.0003724,-2.9260538,0.31945032
0.5760000000000001,-2.0004106,-2.9173422,0.31945503
0.592,-2.0004458,-2.9086125,0.31945395
0.608,-2.0004783,-2.8998654,0.3194471
0.624,-2.0005074,-2.891102,0.3194345
0.64,-2.0005333,-2.8823233,0.31941614
0.656,-2.0005689,-2.875702,0.31952196
0.672,-2.0005875,-2.8680556,0.3195555
0.6880000000000001,-2.0006025,-2.859508,0.31957978
0.704,-2.0006144,-2.8501031,0.3195971
0.72,-2.0006237,-2.8401878,0.31960338
0.736,-2.0006309,-2.8301208,0.3195957
0.752,-2.0006351,-2.8199425,0.31957656
0.768,-2.0006368,-2.8096857,0.31954867
0.784,-2.0006354,-2.7993767,0.31951433
0.8,-2.000632,-2.7890387,0.31947568
0.8160000000000001,-2.000626,-2.7786882,0.31943524
0.8320000000000001,-2.0006177,-2.7683258,0.31939837
0.848,-2.000607,-2.757951,0.31936458
0.864,-2.0005944,-2.7475643,0.3193331
0.88,-2.0005798,-2.7371652,0.31930345
0.896,-2.000564,-2.7267535,0.31927523
0.912,-2.0005474,-2.7163293,0.31924823
0.928,-2.00053,-2.7058926,0.31922227
0.9440000000000001,-2.0005126,-2.6954427,0.31919733
0.96,-2.0004952,-2.6849797,0.31917337
0.976,-2.0004785,-2.6745036,0.3191505
0.992,-2.0004625,-2.6640134,0.31912878
1.008,-2.0004478,-2.6535094,0.31910828
1.024,-2.0004346,-2.6429908,0.31908914
1.04,-2.0004234,-2.6324573,0.31907153
1.056,-2.0004141,-2.6219087,0.3190555
1.072,-2.0004075,-2.6113443,0.3190412
1.088,-2.0004034,-2.600764,0.31902874
1.104,-2.0004022,-2.590167,0.31901816
1.12,-2.0004044,-2.579553,0.31900957
1.1360000000000001,-2.0004094,-2.568921,0.319003
1.1520000000000001,-2.0004053,-2.558174,0.31901455
1.168,-2.0004232,-2.5476372,0.319026
1.184,-2.000389,-2.5371451,0.3190133
1.2,-2.0003288,-2.5264487,0.31900224
1.216,-2.0002651,-2.5157166,0.3189929
1.232,-2.000203,-2.504964,0.31898516
1.248,-2.000144,-2.4941905,0.31897897
1.264,-2.0000887,-2.4833944,0.31897423
1.28,-2.0000374,-2.4725754,0.31897074
1.296,-1.9999897,-2.4617326,0.3189684
1.312,-1.9999459,-2.4508657,0.31896695
