sim_time,value
48.016,199.63635
48.032000000000004,206.84523
48.048,214.49919
48.064,222.56033
48.08,230.98653
48.096000000000004,239.73145
48.112,248.74458
48.128,257.97134
48.144,267.35318
48.160000000000004,276.07422
48.176,284.38037
48.192,292.42007
48.208,300.1781
48.224000000000004,307.63962
48.24,314.79028
48.256,321.61603
48.272,328.09006
48.288000000000004,333.8853
48.304,339.02753
48.32,344.16342
48.336,349.07333
48.352000000000004,353.8002
48.368,358.3467
48.384,362.74686
48.4,367.01077
48.416000000000004,370.67984
48.432,373.9423
48.448,376.8112
48.464,379.3178
48.480000000000004,381.28067
48.496,382.84824
48.512,384.00626
48.528,385.4517
48.544000000000004,386.60504
48.56,387.6502
48.576,388.3421
48.592,389.01355
48.608000000000004,389.6104
48.624,390.0863
48.64,390.43677
48.656,390.69315
48.672000000000004,390.88272
48.688,391.02792
48.704,391.14703
48.72,391.2543
48.736000000000004,391.36023
48.752,391.46628
48.768,391.57236
48.784,391.6783
48.800000000000004,391.78394
48.816,391.88913
48.832,391.99396
48.848,392.0984
48.864000000000004,392.20242
48.88,392.30603
48.896,392.40918
48.912,392.51184
48.928000000000004,392.61392
48.944,392.7154
48.96,392.81616
48.976,392.9161
48.992000000000004,393.0151
49.008,393.11304
49.024,393.20975
49.04,393.30505
49.056000000000004,393.39877
49.072,393.49075
49.088,393.5808
49.104,393.6688
49.120000000000005,393.7545
49.136,393.83765
49.152,393.91806
49.168,393.99557
49.184,394.0699
49.2,394.14087
49.216,394.20828
49.232,394.27197
49.248,394.3317
49.264,394.38733
49.28,394.4387
49.296,394.48563
49.312,394.52798
49.328,394.56567
49.344,394.59854
49.36,394.62653
49.376,394.64957
49.392,394.66757
49.408,394.68054
49.424,394.68845
49.44,394.69128
49.456,394.68903
49.472,394.775
49.488,394.8802
49.504,394.962
49.52,394.97775
49.536,394.96152
49.552,394.94296
49.568,394.92188
49.584,394.89786
49.6,394.8707
49.616,394.84048
49.632,394.8073
49.648,394.7713
49.664,394.7326
49.68,394.69135
49.696,394.64764
49.712,394.60156
49.728,394.55322
49.744,394.50266
49.76,394.44995
49.776,394.39514
49.792,394.33826
49.808,394.27936
49.824,394.21854
49.84,394.1557
49.856,394.09082
49.872,394.0238
49.888,393.9546
49.904,393.88315
49.92,393.80933
49.936,393.7331
49.952,393.65424
49.968,393.57266
49.984,393.4882
50.0,393.40067
50.016,393.30984
50.032000000000004,393.2156
50.048,393.1177
50.064,393.01596
50.08,392.91013
50.096000000000004,392.80005
50.112,392.68555
50.128,392.56638
50.144,392.44235
50.160000000000004,392.31326
50.176,392.1789
50.192,392.0391
50.208,391.89365
50.224000000000004,391.7425
50.24,391.58545
50.256,391.42242
50.272,391.25333
50.288000000000004,391.07803
50.304,390.89648
50.32,390.70862
50.336,390.51443
50.352000000000004,390.31387
50.368,390.107
50.384,389.8938
50.4,389.67432
50.416000000000004,389.44864
50.432,389.2168
50.448,388.97894
50.464,388.7351
50.480000000000004,388.48547
50.496,388.23016
50.512,387.96933
50.528,387.70312
50.544000000000004,387.43173
50.56,387.1553
50.576,386.874
50.592,386.58804
50.608000000000004,386.29764
50.624,386.00296
50.64,385.70425
50.656,385.4016
50.672000000000004,385.09528
50.688,384.78534
50.704,384.47195
50.72,384.1552
50.736000000000004,383.83514
50.752,383.51187
50.768,383.18546
50.784,382.85602
50.800000000000004,382.52353
50.816,382.18796
50.832,381.84924
50.848,381.5074
50.864000000000004,381.16226
50.88,380.8138
50.896,380.46198
50.912,380.10666
50.928000000000004,379.74774
50.944,379.38507
50.96,379.01846
50.976,378.6477
50.992000000000004,378.27267
51.008,377.8931
51.024,377.5087
51.04,377.11932
51.056000000000004,376.72473
51.072,376.3247
51.088,375.919
51.104,375.50754
51.120000000000005,375.09006
51.136,374.66632
51.152,374.23615
51.168,373.7994
51.184000000000005,373.35587
51.2,372.90543
51.216,372.44797
51.232,371.98346
51.248,371.51178
51.264,371.03293
51.28,370.54688
51.296,370.0536
51.312,369.5531
51.328,369.0454
51.344,368.53064
51.36,368.0088
51.376,367.48
51.392,366.94443
51.408,366.4022
51.424,365.85342
51.44,365.2983
51.456,364.7371
51.472,364.1699
51.488,363.59702
51.504,363.01868
51.52,362.4351
51.536,361.8465
51.552,361.2532
51.568,360.65546
51.584,360.05347
51.6,359.44754
51.616,358.838
51.632,358.22516
51.648,357.6092
51.664,356.9903
51.68,356.36874
51.696,355.74466
51.712,355.11826
51.728,354.48956
51.744,353.85867
51.76,353.2257
51.776,352.59082
51.792,351.95398
51.808,351.72104
51.824,351.71194
51.84,351.62924
51.856,351.5585
51.872,351.54077
51.888,351.55533
51.904,351.55328
51.92,351.5631
51.936,351.58038
51.952,351.60193
51.968,351.62546
51.984,351.64926
52.0,351.67206
52.016,351.693
52.032000000000004,351.71262
52.048,351.73096
52.064,351.74796
52.08,351.76352
52.096000000000004,351.77765
52.112,351.79028
52.128,351.8014
52.144,351.81097
52.160000000000004,351.81897
52.176,351.82544
52.192,351.8303
52.208,351.83356
52.224000000000004,351.83524
52.24,351.8353
52.256,351.83377
52.272,351.8306
52.288000000000004,351.82578
52.304,351.81937
52.32,351.81128
52.336,351.80154
52.352000000000004,351.79013
52.368,351.77707
52.384,351.76233
52.4,351.75256
52.416000000000004,351.74564
52.432,351.7409
52.448,351.73804
52.464,351.73666
52.480000000000004,351.73648
52.496,351.73718
52.512,351.73853
52.528,351.7403
