sim_time,value_0,value_1,value_2
48.016,-2.0774612,-3.7079437,0.31909165
48.032000000000004,-2.0809326,-3.7017338,0.31907588
48.048,-2.084134,-3.6956697,0.31905884
48.064,-2.0870628,-3.689748,0.31903997
48.08,-2.0897164,-3.6839662,0.31901863
48.096000000000004,-2.0920932,-3.6783218,0.31899413
48.112,-2.0941925,-3.672814,0.31896573
48.128,-2.0960135,-3.6674411,0.31893265
48.144,-2.0975564,-3.6622036,0.318894
48.160000000000004,-2.1017342,-3.6599653,0.3194988
48.176,-2.106314,-3.6593466,0.3199527
48.192,-2.110901,-3.6588013,0.3202877
48.208,-2.1155326,-3.6583645,0.32050517
48.224000000000004,-2.120249,-3.6580548,0.32060298
48.24,-2.1250904,-3.6578822,0.32057926
48.256,-2.1300929,-3.6578546,0.32043263
48.272,-2.135303,-3.657954,0.3202193
48.288000000000004,-2.1401913,-3.6578953,0.31974488
48.304,-2.144684,-3.657357,0.31908992
48.32,-2.1455307,-3.6547701,0.3198583
48.336,-2.1458573,-3.6521304,0.32006615
48.352000000000004,-2.1457298,-3.649455,0.32003164
48.368,-2.145145,-3.6467204,0.31978896
48.384,-2.1441092,-3.6437132,0.31933582
48.4,-2.142521,-3.6402278,0.31867325
48.416000000000004,-2.140247,-3.6333997,0.3190622
48.432,-2.1380463,-3.62513,0.31906742
48.448,-2.1358197,-3.6160605,0.3190325
48.464,-2.133528,-3.6065123,0.31897923
48.480000000000004,-2.130864,-3.6000206,0.3198798
48.496,-2.1282225,-3.5951002,0.320064
48.512,-2.1255777,-3.5920014,0.31981662
48.528,-2.123623,-3.587516,0.31984824
48.544000000000004,-2.1210291,-3.583445,0.3196875
48.56,-2.1182766,-3.5792654,0.31942
48.576,-2.1140008,-3.5728848,0.31947464
48.592,-2.1105006,-3.5662696,0.3194474
48.608000000000004,-2.1072154,-3.5589907,0.31942102
48.624,-2.1039824,-3.5514822,0.3193966
48.64,-2.1005437,-3.543761,0.3193766
48.656,-2.096891,-3.5358348,0.3193618
48.672000000000004,-2.0930307,-3.5277107,0.31935242
48.688,-2.0889747,-3.519389,0.31934816
48.704,-2.0847352,-3.5108638,0.3193489
48.72,-2.080326,-3.5021274,0.31935352
48.736000000000004,-2.0757616,-3.493168,0.31936166
48.752,-2.0711558,-3.4841466,0.3193711
48.768,-2.0665436,-3.4751084,0.31938216
48.784,-2.0619254,-3.4660542,0.31939402
48.800000000000004,-2.0573,-3.4569848,0.319406
48.816,-2.052667,-3.4479005,0.31941757
48.832,-2.0480256,-3.4388022,0.3194282
48.848,-2.0433757,-3.4296908,0.3194376
48.864000000000004,-2.038717,-3.4205666,0.31944537
48.88,-2.0340493,-3.4114296,0.31945133
48.896,-2.029372,-3.4022806,0.31945527
48.912,-2.0246851,-3.3931196,0.31945702
48.928000000000004,-2.0199888,-3.383947,0.31945655
48.944,-2.0152829,-3.3747625,0.31945375
48.96,-2.0105677,-3.365566,0.31944865
48.976,-2.0058427,-3.356358,0.31944126
48.992000000000004,-2.0011086,-3.3471386,0.31943163
49.008,-1.9963652,-3.3379078,0.3194199
49.024,-1.9916128,-3.3286655,0.31940606
49.04,-1.9868516,-3.319412,0.3193904
49.056000000000004,-1.9820818,-3.3101466,0.31937292
49.072,-1.9773034,-3.3008695,0.31935394
49.088,-1.9725169,-3.2915802,0.31933355
49.104,-1.9677224,-3.282278,0.31931204
49.120000000000005,-1.9629202,-3.272963,0.31928957
