sim_time,value
56.016,360.3041
56.032000000000004,358.95694
56.048,357.55905
56.064,356.1274
56.08,354.67188
56.096000000000004,353.26352
56.112,351.70377
56.128,349.93326
56.144,347.93872
56.160000000000004,346.20334
56.176,344.62784
56.192,343.22623
56.208,342.01056
56.224000000000004,340.99506
56.24,340.1933
56.256,339.74667
56.272,339.1126
56.288000000000004,338.34314
56.304,337.46188
56.32,336.46713
56.336,335.66183
56.352000000000004,335.11508
56.368,334.80194
56.384,334.66028
56.4,334.67102
56.416000000000004,334.8484
56.432,335.21765
56.448,335.79834
56.464,336.50763
56.480000000000004,337.22696
56.496,337.94754
56.512,338.67065
56.528,339.39664
56.544000000000004,340.38925
56.56,341.5936
56.576,342.5383
56.592,343.7298
56.608000000000004,345.1216
56.624,346.26126
56.64,347.181
56.656,348.34125
56.672000000000004,349.6959
56.688,350.80518
56.704,351.7009
56.72,352.43008
56.736000000000004,353.40613
56.752,354.15506
56.768,354.87503
56.784,355.59824
56.800000000000004,356.32544
56.816,357.0568
56.832,357.79242
56.848,358.5324
56.864000000000004,359.2769
56.88,360.02588
56.896,360.77942
56.912,361.53754
56.928000000000004,362.30023
56.944,363.06744
56.96,363.8392
56.976,364.6154
56.992000000000004,365.30624
57.008,365.80753
57.024,366.18262
57.04,366.4607
57.056000000000004,366.6599
57.072,366.9858
57.088,367.4877
57.104,368.1894
57.120000000000005,368.91498
57.136,369.64395
57.152,370.3755
57.168,371.10913
57.184000000000005,371.8446
57.2,372.58167
57.216,373.32007
57.232,374.0596
57.248000000000005,374.8001
57.264,375.5414
57.28,376.2834
57.296,377.02588
57.312000000000005,377.76883
57.328,378.51218
57.344,379.25583
57.36,379.99976
57.376,380.74402
57.392,381.4886
57.408,382.23355
57.424,382.9789
57.44,383.72476
57.456,384.47116
57.472,385.42798
57.488,386.4541
57.504,387.48593
57.52,388.34232
57.536,389.15134
57.552,389.8499
57.568,390.74234
57.584,391.80774
57.6,392.60086
57.616,393.2979
57.632,394.195
57.648,395.25317
57.664,396.07455
57.68,396.77307
57.696,397.66647
57.712,398.71826
57.728,399.91992
57.744,401.2546
57.76,402.71304
57.776,404.2782
57.792,405.87082
57.808,407.39197
57.824,408.8419
57.84,410.21732
57.856,411.42715
57.872,412.60352
57.888,413.89587
57.904,415.22205
57.92,416.36996
57.936,417.34793
57.952,418.17896
57.968,418.8832
57.984,419.4776
58.0,420.14166
58.016,420.8497
58.032000000000004,421.58124
58.048,422.19144
58.064,422.704
58.08,423.24838
58.096000000000004,423.79883
58.112,424.33136
58.128,424.76306
58.144,425.1189
58.160000000000004,425.46326
58.176,425.76837
58.192,426.00638
58.208,426.14633
58.224000000000004,426.15402
58.24,425.9916
58.256,425.6176
58.272,425.11526
58.288000000000004,424.53134
58.304,423.90607
58.32,423.27588
58.336,422.673
58.352000000000004,422.12543
58.368,421.6568
58.384,421.28632
58.4,421.02872
58.416000000000004,420.9761
58.432,421.01385
58.448,420.91776
58.464,420.88345
58.480000000000004,420.85623
58.496,420.831
58.512,420.80588
58.528,420.78
58.544000000000004,420.75302
58.56,420.7248
58.576,420.69522
58.592,420.66434
58.608000000000004,420.63205
58.624,420.6469
58.64,420.63452
