sim_time,value
56.016,226.65794
56.032000000000004,226.75833
56.048,226.85873
56.064,226.95914
56.08,227.05954
56.096000000000004,227.15994
56.112,227.26035
56.128,227.36075
56.144,227.46117
56.160000000000004,227.56157
56.176,227.66199
56.192,227.7624
56.208,227.86281
56.224000000000004,227.96323
56.24,228.06364
56.256,228.16405
56.272,228.26445
56.288000000000004,228.36485
56.304,228.46524
56.32,228.56563
56.336,228.66603
56.352000000000004,228.76643
56.368,228.86682
56.384,228.96722
56.4,229.06761
56.416000000000004,229.16801
56.432,229.2684
56.448,229.36879
56.464,229.4692
56.480000000000004,229.56958
56.496,229.66998
56.512,229.77037
56.528,229.87076
56.544000000000004,229.97115
56.56,230.07153
56.576,230.17194
56.592,230.27232
56.608000000000004,230.37271
56.624,230.4731
56.64,230.57349
56.656,230.67387
56.672000000000004,230.77426
56.688,230.87465
56.704,230.97505
56.72,231.07544
56.736000000000004,231.17583
56.752,231.27621
56.768,231.3766
56.784,231.477
56.800000000000004,231.5774
56.816,231.67778
56.832,231.77817
56.848,231.87856
56.864000000000004,231.97896
56.88,232.07935
56.896,232.17973
56.912,232.28012
56.928000000000004,232.38051
56.944,232.4809
56.96,232.58128
56.976,232.68167
56.992000000000004,232.78206
57.008,232.88246
57.024,232.98285
57.04,233.08324
57.056000000000004,233.18364
57.072,233.28404
57.088,233.38443
57.104,233.48483
57.120000000000005,233.58524
57.136,233.68562
57.152,233.78603
57.168,233.88643
57.184000000000005,233.98682
57.2,234.08722
57.216,234.1876
57.232,234.28801
57.248000000000005,234.38841
57.264,234.4888
57.28,234.5892
57.296,234.68959
57.312000000000005,234.79
57.328,234.89038
57.344,234.99078
57.36,235.09117
57.376,235.19157
57.392,235.29196
57.408,235.39236
57.424,235.49275
57.44,235.59315
57.456,235.69354
57.472,235.79393
57.488,235.89432
57.504,235.99472
57.52,236.09511
57.536,236.19551
57.552,236.29591
57.568,236.3963
57.584,236.4967
57.6,236.59709
57.616,236.6975
57.632,236.7979
57.648,236.89828
57.664,236.99869
57.68,237.09908
57.696,237.19948
57.712,237.29987
57.728,237.40027
57.744,237.50066
57.76,237.60104
57.776,237.70145
57.792,237.80183
57.808,237.90222
57.824,238.00261
57.84,238.10301
57.856,238.2034
57.872,238.3038
57.888,238.4042
57.904,238.5046
57.92,238.605
57.936,238.70537
57.952,238.80588
57.968,238.90623
57.984,239.00664
58.0,239.10703
58.016,239.20743
58.032000000000004,239.30783
58.048,239.40823
58.064,239.50864
58.08,239.60904
58.096000000000004,239.70943
58.112,239.80983
58.128,239.91023
58.144,240.01064
58.160000000000004,240.11102
58.176,240.21143
58.192,240.31181
58.208,240.41222
58.224000000000004,240.5126
58.24,240.613
58.256,240.7134
58.272,240.81378
58.288000000000004,240.91418
58.304,241.01459
58.32,241.11499
58.336,241.21538
58.352000000000004,241.31578
58.368,241.41618
58.384,241.51659
58.4,241.61699
58.416000000000004,241.61699
58.432,241.61699
58.448,241.61699
58.464,241.61699
58.480000000000004,241.61699
58.496,241.61699
58.512,241.61699
58.528,241.61699
58.544000000000004,241.61699
58.56,241.61699
58.576,241.61699
58.592,241.61699
58.608000000000004,241.61699
58.624,241.61699
58.64,241.61699
