sim_time,value_0,value_1
56.016,6.28,6.28
56.032000000000004,6.28,6.28
56.048,6.28,6.28
56.064,6.28,6.28
56.08,6.28,6.28
56.096000000000004,6.28,6.28
56.112,6.28,6.28
56.128,6.28,6.28
56.144,6.28,6.28
56.160000000000004,6.28,6.28
56.176,6.28,6.28
56.192,6.28,6.28
56.208,6.28,6.28
56.224000000000004,6.28,6.28
56.24,6.28,6.28
56.256,6.28,6.28
56.272,6.28,6.28
56.288000000000004,6.28,6.28
56.304,6.28,6.28
56.32,6.28,6.28
56.336,6.28,6.28
56.352000000000004,6.28,6.28
56.368,6.28,6.28
56.384,6.28,6.28
56.4,6.28,6.28
56.416000000000004,6.28,6.28
56.432,6.28,6.28
56.448,6.28,6.28
56.464,6.28,6.28
56.480000000000004,6.28,6.28
56.496,6.28,6.28
56.512,6.28,6.28
56.528,6.28,-6.28
56.544000000000004,6.28,-6.28
56.56,6.28,6.28
56.576,6.28,-6.28
56.592,6.28,-6.28
56.608000000000004,6.28,6.28
56.624,6.28,6.28
56.64,6.28,-6.28
56.656,6.28,-6.28
56.672000000000004,6.28,6.28
56.688,6.28,6.28
56.704,6.28,6.28
56.72,6.28,-6.28
56.736000000000004,6.28,6.28
56.752,6.28,6.28
56.768,6.28,6.28
56.784,6.28,6.28
56.800000000000004,6.28,6.28
56.816,6.28,6.28
56.832,6.28,6.28
56.848,6.28,6.28
56.864000000000004,6.28,6.28
56.88,6.28,6.28
56.896,6.28,6.28
56.912,6.28,6.28
56.928000000000004,6.28,6.28
56.944,6.28,6.28
56.96,6.28,6.28
56.976,6.28,6.28
56.992000000000004,6.28,6.28
57.008,6.28,6.28
57.024,6.28,6.28
57.04,6.28,6.28
57.056000000000004,6.28,6.28
57.072,6.28,6.28
57.088,6.28,6.28
57.104,6.28,6.28
57.120000000000005,6.28,6.28
57.136,6.28,6.28
57.152,6.28,6.28
57.168,6.28,6.28
57.184000000000005,6.28,6.28
57.2,6.28,6.28
57.216,6.28,6.28
57.232,6.28,6.28
57.248000000000005,6.28,6.28
57.264,6.28,6.28
57.28,6.28,6.28
57.296,6.28,6.28
57.312000000000005,6.28,6.28
57.328,6.28,6.28
57.344,6.28,6.28
57.36,6.28,6.28
57.376,6.28,6.28
57.392,6.28,6.28
57.408,6.28,6.28
57.424,6.28,6.28
57.44,6.28,6.28
57.456,6.28,-6.28
57.472,6.28,-6.28
57.488,6.28,-6.28
57.504,6.28,6.28
57.52,6.28,6.28
57.536,6.28,6.28
57.552,6.28,-6.28
57.568,6.28,-6.28
57.584,6.28,6.28
57.6,6.28,6.28
57.616,6.28,-6.28
57.632,6.28,-6.28
57.648,6.28,6.28
57.664,6.28,6.28
57.68,6.28,-6.28
57.696,6.28,-6.28
57.712,6.28,-6.28
57.728,6.28,-6.28
57.744,6.28,-6.28
57.76,6.28,-6.28
57.776,6.28,-6.28
57.792,6.28,-6.28
57.808,6.28,-6.28
57.824,6.28,-6.28
57.84,6.28,6.28
57.856,6.28,6.28
57.872,6.28,-6.28
57.888,6.28,-6.28
57.904,6.28,6.28
57.92,6.28,6.28
57.936,6.28,6.28
57.952,6.28,6.28
57.968,6.28,6.28
57.984,6.28,-6.28
58.0,6.28,-6.28
58.016,6.28,-6.28
58.032000000000004,6.28,6.28
58.048,6.28,6.28
58.064,6.28,-6.28
58.08,6.28,-6.28
58.096000000000004,6.28,-6.28
58.112,6.28,6.28
58.128,6.28,6.28
58.144,6.28,-6.28
58.160000000000004,6.28,-6.28
58.176,6.28,-6.28
58.192,6.28,-6.28
58.208,6.28,-6.28
58.224000000000004,6.28,-6.28
58.24,6.28,-6.28
58.256,6.28,6.28
58.272,6.28,6.28
58.288000000000004,6.28,6.28
58.304,6.28,6.28
58.32,6.28,6.28
58.336,6.28,6.28
58.352000000000004,6.28,6.28
58.368,6.28,6.28
58.384,6.28,6.28
58.4,0.0,0.0
58.416000000000004,0.0,0.0
58.432,0.0,0.0
58.448,0.0,0.0
58.464,0.0,0.0
58.480000000000004,0.0,0.0
58.496,0.0,0.0
58.512,0.0,0.0
58.528,0.0,0.0
58.544000000000004,0.0,0.0
58.56,0.0,0.0
58.576,0.0,0.0
58.592,0.0,0.0
58.608000000000004,0.0,0.0
58.624,0.0,0.0
58.64,0.0,0.0
