sim_time,value_0,value_1
48.016,6.28,-6.28
48.032000000000004,6.28,-6.28
48.048,6.28,-6.28
48.064,6.28,-6.28
48.08,6.28,-6.28
48.096000000000004,6.28,-6.28
48.112,6.28,-6.28
48.128,6.28,-6.28
48.144,6.28,-6.28
48.160000000000004,6.28,-6.28
48.176,6.28,-6.28
48.192,6.28,-6.28
48.208,6.28,-6.28
48.224000000000004,6.28,-6.28
48.24,6.28,-6.28
48.256,6.28,-6.28
48.272,6.28,-6.28
48.288000000000004,6.28,-6.28
48.304,6.28,-6.28
48.32,6.28,-6.28
48.336,6.28,-6.28
48.352000000000004,6.28,-6.28
48.368,6.28,-6.28
48.384,6.28,-6.28
48.4,6.28,6.28
48.416000000000004,6.28,6.28
48.432,6.28,6.28
48.448,6.28,6.28
48.464,6.28,6.28
48.480000000000004,6.28,-6.28
48.496,6.28,6.28
48.512,6.28,6.28
48.528,6.28,6.28
48.544000000000004,6.28,6.28
48.56,6.28,6.28
48.576,6.28,6.28
48.592,6.28,6.28
48.608000000000004,6.28,6.28
48.624,6.28,6.28
48.64,6.28,6.28
48.656,6.28,6.28
48.672000000000004,6.28,6.28
48.688,6.28,6.28
48.704,6.28,-6.28
48.72,6.28,-6.28
48.736000000000004,6.28,-6.28
48.752,6.28,-6.28
48.768,6.28,-6.28
48.784,6.28,-6.28
48.800000000000004,6.28,-6.28
48.816,6.28,-6.28
48.832,6.28,-6.28
48.848,6.28,-6.28
48.864000000000004,6.28,6.28
48.88,6.28,6.28
48.896,6.28,6.28
48.912,6.28,6.28
48.928000000000004,6.28,6.28
48.944,6.28,6.28
48.96,6.28,6.28
48.976,6.28,6.28
48.992000000000004,6.28,6.28
49.008,6.28,6.28
49.024,6.28,6.28
49.04,6.28,6.28
49.056000000000004,6.28,6.28
49.072,6.28,6.28
49.088,6.28,6.28
49.104,6.28,6.28
49.120000000000005,6.28,6.28
49.136,6.28,-6.28
49.152,6.28,-6.28
49.168,6.28,-6.28
49.184,6.28,-6.28
49.2,6.28,-6.28
49.216,6.28,-6.28
49.232,6.28,6.28
49.248,6.28,6.28
49.264,6.28,-6.28
49.28,6.28,6.28
49.296,6.28,6.28
49.312,6.28,-6.28
49.328,6.28,-6.28
49.344,6.28,6.28
49.36,6.28,-6.28
49.376,6.28,-6.28
49.392,6.28,-6.28
49.408,6.28,-6.28
49.424,6.28,-6.28
49.44,6.28,-6.28
49.456,6.28,-6.28
49.472,6.28,-6.28
49.488,6.28,-6.28
49.504,6.28,-6.28
49.52,6.28,-6.28
49.536,6.28,-6.28
49.552,6.28,6.28
49.568,6.28,6.28
49.584,6.28,6.28
49.6,6.28,6.28
49.616,6.28,6.28
49.632,6.28,6.28
49.648,6.28,6.28
49.664,6.28,6.28
49.68,6.28,6.28
49.696,6.28,6.28
49.712,6.28,6.28
49.728,6.28,6.28
49.744,6.28,6.28
49.76,6.28,6.28
49.776,6.28,6.28
49.792,6.28,6.28
49.808,6.28,6.28
49.824,6.28,6.28
49.84,6.28,6.28
49.856,6.28,6.28
49.872,6.28,6.28
49.888,6.28,6.28
49.904,6.28,6.28
49.92,6.28,6.28
49.936,6.28,6.28
49.952,6.28,6.28
49.968,6.28,6.28
49.984,6.28,6.28
50.0,6.28,6.28
50.016,6.28,6.28
50.032000000000004,6.28,6.28
50.048,6.28,6.28
50.064,6.28,6.28
50.08,6.28,6.28
50.096000000000004,6.28,6.28
50.112,6.28,6.28
50.128,6.28,6.28
50.144,6.28,-6.28
50.160000000000004,6.28,-6.28
50.176,6.28,-6.28
50.192,6.28,6.28
50.208,6.28,6.28
50.224000000000004,6.28,6.28
50.24,6.28,6.28
50.256,6.28,6.28
50.272,6.28,6.28
50.288000000000004,6.28,6.28
50.304,0.0,0.0
50.32,0.0,0.0
50.336,0.0,0.0
50.352000000000004,0.0,0.0
50.368,0.0,0.0
50.384,0.0,0.0
50.4,0.0,0.0
50.416000000000004,0.0,0.0
50.432,0.0,0.0
50.448,0.0,0.0
50.464,0.0,0.0
50.480000000000004,0.0,0.0
50.496,0.0,0.0
50.512,0.0,0.0
50.528,0.0,0.0
50.544000000000004,0.0,0.0
50.56,0.0,0.0
50.576,0.0,0.0
50.592,0.0,0.0
50.608000000000004,0.0,0.0
50.624,0.0,0.0
50.64,0.0,0.0
50.656,0.0,0.0
50.672000000000004,0.0,0.0
50.688,0.0,0.0
50.704,0.0,0.0
50.72,0.0,0.0
50.736000000000004,0.0,0.0
50.752,0.0,0.0
50.768,0.0,0.0
50.784,0.0,0.0
50.800000000000004,0.0,0.0
50.816,0.0,0.0
50.832,0.0,0.0
50.848,0.0,0.0
50.864000000000004,0.0,0.0
50.88,0.0,0.0
50.896,0.0,0.0
50.912,0.0,0.0
50.928000000000004,0.0,0.0
50.944,0.0,0.0
50.96,0.0,0.0
50.976,0.0,0.0
50.992000000000004,0.0,0.0
51.008,0.0,0.0
51.024,0.0,0.0
51.04,0.0,0.0
51.056000000000004,0.0,0.0
51.072,0.0,0.0
51.088,0.0,0.0
51.104,0.0,0.0
51.120000000000005,0.0,0.0
51.136,0.0,0.0
51.152,0.0,0.0
51.168,0.0,0.0
51.184000000000005,0.0,0.0
51.2,0.0,0.0
51.216,0.0,0.0
51.232,0.0,0.0
51.248,0.0,0.0
51.264,0.0,0.0
51.28,0.0,0.0
51.296,0.0,0.0
51.312,0.0,0.0
51.328,0.0,0.0
51.344,0.0,0.0
51.36,0.0,0.0
51.376,0.0,0.0
51.392,0.0,0.0
51.408,0.0,0.0
51.424,0.0,0.0
