sim_time,value_0,value_1,value_2
48.016,1.0207206,-1.0199842,9.793018
48.032000000000004,0.59888506,-1.6061285,9.622881
48.048,0.20113628,-0.37177837,9.804459
48.064,0.11187441,-0.2685897,9.813666
48.08,0.08789723,-0.23514009,9.81563
48.096000000000004,0.07744455,-0.21628678,9.816742
48.112,0.071126595,-0.20191006,9.817605
48.128,0.06689731,-0.18997219,9.8182955
48.144,0.064105205,-0.17994997,9.818828
48.160000000000004,0.062433902,-0.17164083,9.819207
48.176,0.06169351,-0.16493006,9.819438
48.192,0.061766937,-0.15973485,9.819524
48.208,0.06258766,-0.15598257,9.8194685
48.224000000000004,0.0641259,-0.15359768,9.81928
48.24,0.06637857,-0.15249224,9.818964
48.256,0.069361515,-0.15255928,9.818533
48.272,0.07310335,-0.15366866,9.817997
48.288000000000004,0.07764053,-0.15566511,9.817371
48.304,0.08301327,-0.15836826,9.816668
48.32,0.089262076,-0.16157421,9.815903
48.336,0.09642495,-0.16505843,9.815092
48.352000000000004,0.104535006,-0.16857956,9.814248
48.368,-0.33693,-0.16314937,9.813531
48.384,-0.49183968,0.576889,9.814822
48.4,-0.45204803,0.7333841,9.8119545
48.416000000000004,-0.83348405,-1.7191069,9.614207
48.432,-0.6160258,-0.7645261,9.812731
48.448,-0.5261195,-0.7899836,9.814848
48.464,-0.46241054,-0.81366354,9.815894
48.480000000000004,-0.41084737,-0.8325316,9.816839
48.496,0.5018962,1.1804127,9.959503
48.512,-1.2033001,-1.2605182,9.661215
48.528,-0.4364691,-0.82663554,9.819317
48.544000000000004,-0.35596716,-0.8468219,9.820523
48.56,-0.29259804,-0.8647227,9.821149
48.576,-0.23574656,-0.87912023,9.821614
48.592,-0.18078375,-0.89154166,9.821908
48.608000000000004,-0.12539893,-0.90280515,9.822004
48.624,-0.06844442,-0.9133498,9.82189
48.64,-0.009262291,-0.8404319,9.821477
48.656,0.035543248,-0.07736647,9.820558
48.672000000000004,0.053291988,-0.07629156,9.820308
48.688,0.048310403,-0.07848869,9.820222
48.704,0.043144546,-0.08022966,9.82003
48.72,-0.016475758,-0.3940439,9.742271
48.736000000000004,-0.074487194,0.94642466,9.811655
48.752,-0.12489333,0.97011244,9.813223
48.768,-0.1835162,0.98842484,9.810824
48.784,-0.24463345,1.006011,9.807672
48.800000000000004,-0.30553415,1.0246103,9.803967
48.816,-0.3650545,1.0450321,9.799708
48.832,-0.4227606,1.067638,9.794875
48.848,-0.47854787,1.0925723,9.789445
48.864000000000004,-0.5324483,1.1198772,9.783398
48.88,-0.6468018,-1.2175978,9.758508
48.896,-0.49902233,-0.6658932,9.840598
48.912,-0.41158003,-0.67246944,9.84222
48.928000000000004,-0.3680842,2.0636055,10.0624695
48.944,-0.53257006,-0.5351169,9.661299
48.96,-0.02782666,-0.710982,9.795132
48.976,-0.20453359,-0.27036563,9.805519
48.992000000000004,-0.1550341,-0.40591687,9.816086
49.008,-0.1018987,-0.53990775,9.82511
49.024,-0.04490552,-0.66394484,9.833092
49.04,0.016560331,-0.7434351,9.849658
49.056000000000004,0.045893837,0.12334404,9.829191
49.072,0.048053976,0.17805412,9.824918
49.088,0.0410596,0.17635447,9.82247
49.104,0.03445729,0.17524548,9.820287
49.120000000000005,0.02844724,0.17483717,9.818303
49.136,0.023012176,0.17514542,9.816466
49.152,-0.204904,-0.098211676,9.6114025
49.168,2.1163797,5.0248404,9.958223
49.184,2.4183204,5.4898486,9.578588
49.2,2.961979,6.663316,9.586919
49.216,0.7950711,6.923101,9.569066
49.232,-1.2857971,6.2887926,9.56878
49.248,-1.3250644,-1.5365014,9.752008
49.264,-3.2389023,-6.7008405,9.945531
49.28,-0.10328688,-0.3204295,9.8098345
49.296,-3.0342684,-8.926589,10.214567
49.312,-0.26802456,-1.5552999,9.895626
49.328,-0.3631223,0.46521956,9.645236
49.344,-0.30196458,1.2285076,9.799292
49.36,-0.10257287,-0.621745,9.989737
49.376,-0.26712632,0.6522165,9.662092
49.392,-0.28203642,1.207734,9.799934
49.408,-0.3061586,1.2093211,9.805923
49.424,-0.33990043,1.205472,9.807058
49.44,-0.37652946,1.1995915,9.807676
49.456,-0.41288164,1.1938884,9.807958
49.472,-0.44752923,1.1893564,9.80784
49.488,-0.479872,1.1864063,9.807271
49.504,-0.50969434,1.1851707,9.806213
49.52,-0.5369529,1.185653,9.804639
49.536,-0.5616763,1.1878011,9.802532
49.552,-0.5839203,1.1915435,9.79988
49.568,-0.56273746,-2.916958,9.791817
49.584,-0.5507167,-0.893858,9.837248
49.6,-0.5039428,-0.91770005,9.834994
49.616,-0.4689771,-0.9453801,9.834225
49.632,-0.4386012,-0.96885556,9.833299
49.648,-0.40875724,-0.98987246,9.832093
49.664,-0.37737522,-1.0095103,9.830597
49.68,-0.34338832,-1.028458,9.828807
49.696,-0.3062354,-1.0471865,9.826726
49.712,-0.26561117,-1.0660399,9.824354
49.728,-0.22134046,-1.0852859,9.821692
49.744,-0.17331472,-1.1051434,9.818743
49.76,-0.12145987,-1.125798,9.815503
49.776,-0.06571992,-1.1474104,9.811976
49.792,-0.027925283,-0.66041225,9.810581
49.808,0.030248718,-0.15904106,9.811622
49.824,0.03606382,-0.16147462,9.810733
49.84,0.028216038,-0.17732127,9.809843
49.856,0.020944353,-0.19280364,9.80888
49.872,0.014439388,-0.20786798,9.807847
49.888,0.00868217,-0.22248948,9.806759
49.904,0.0035957384,-0.2366498,9.805633
49.92,-0.00070931634,-0.2502919,9.804483
49.936,-0.004019286,-0.2636994,9.803318
49.952,-0.008172595,-0.2763324,9.802161
49.968,-0.01089088,-0.28829956,9.801025
49.984,-0.0138757685,-0.30005765,9.799911
50.0,-0.016699482,-0.31144002,9.798831
50.016,-0.019061735,-0.32216552,9.797807
50.032000000000004,-0.021195706,-0.33239165,9.796844
50.048,-0.023024274,-0.34219214,9.795949
50.064,-0.0245571,-0.35157123,9.795131
50.08,-0.025438355,-0.36082155,9.794387
50.096000000000004,-0.026561582,-0.3692637,9.793749
50.112,-0.039000962,-0.8300216,9.934645
50.128,-0.027982939,-0.6426252,9.7080765
50.144,-0.02601662,-0.5876441,9.758603
50.160000000000004,0.055507407,-0.35684872,9.7677145
50.176,-0.05815978,0.8778777,9.839272
50.192,-0.14674109,0.88007104,9.841173
50.208,-0.26581708,-0.81862926,9.799873
50.224000000000004,-0.21465126,-1.35474,9.77018
50.24,-0.14037699,-1.2673477,9.769513
50.256,-0.01371853,-0.34388942,9.798355
50.272,-0.022643067,-0.3257798,9.79804
50.288000000000004,-0.02277388,-0.322426,9.797744
50.304,-0.023568217,-0.319776,9.797654
50.32,-0.8953861,11.680088,10.199732
50.336,-0.92884636,12.373984,10.055183
50.352000000000004,1.7495593,6.294179,9.861396
50.368,0.059962463,-0.093783475,9.763208
50.384,0.020739328,-0.03572009,9.764658
50.4,0.0026496737,0.029993488,9.763969
50.416000000000004,-0.0060002985,0.09637862,9.762549
50.432,-0.010023096,0.16345665,9.760494
50.448,-0.011800868,0.23125798,9.757803
50.464,-0.098654985,2.7826908,13.11559
50.480000000000004,-0.050143443,1.7292153,8.069088
50.496,-0.046147477,1.9543579,8.9806185
50.512,-0.03843833,2.0088108,9.143696
50.528,-0.030521352,2.0167081,9.147542
50.544000000000004,-0.022766924,2.0062408,9.120577
50.56,-0.015024321,1.9835894,9.089967
50.576,1.2487875,1.0273175,10.913702
50.592,0.65081376,1.1595641,8.926392
50.608000000000004,-1.6508632,0.32045552,11.177087
50.624,-0.23722908,0.26184154,9.531821
50.64,-0.081252836,0.24855533,9.838375
50.656,-0.014304847,0.22792068,9.849021
50.672000000000004,0.011074418,0.20764631,9.841366
50.688,0.01767568,0.1881734,9.834257
50.704,0.01640155,0.16949262,9.828616
50.72,0.01232624,0.15157509,9.8242035
50.736000000000004,0.007703881,0.13439667,9.8207655
50.752,0.0034492612,0.11793754,9.818096
50.768,-0.00013960054,0.102181084,9.816031
50.784,-0.00303341,0.087113,9.814442
50.800000000000004,-0.005307468,0.07272079,9.813225
50.816,-0.007067018,0.058993343,9.8123
50.832,-0.008415479,0.04592067,9.811601
50.848,-0.009442735,0.0334937,9.811078
50.864000000000004,-0.010222421,0.021704141,9.810692
50.88,-0.010812916,0.010544354,9.8104105
50.896,-0.011259615,7.285761e-06,9.810208
50.912,-0.011597394,-0.009913598,9.810067
50.928000000000004,-0.011852844,-0.019224359,9.809972
50.944,-0.012046138,-0.027930623,9.809911
50.96,-0.012192532,-0.036037598,9.809875
50.976,-0.0123035405,-0.043550108,9.809855
50.992000000000004,-0.012387837,-0.0504726,9.80985
51.008,-0.012451955,-0.056809142,9.809854
51.024,-0.012500809,-0.062563464,9.809862
51.04,-0.012538094,-0.06773895,9.809875
51.056000000000004,-0.012566592,-0.07233861,9.809889
51.072,-0.012588391,-0.07636515,9.809903
51.088,-0.012605063,-0.079820916,9.809918
51.104,-0.012617788,-0.082707934,9.809932
51.120000000000005,-0.012627454,-0.08502789,9.809944
51.136,-0.012634727,-0.08678213,9.809955
51.152,-0.012640109,-0.087971695,9.809963
51.168,-0.012643976,-0.08859728,9.80997
51.184000000000005,-0.012646611,-0.088659264,9.809973
51.2,-0.012648225,-0.088157676,9.809974
51.216,-0.012648978,-0.08709224,9.809971
51.232,-0.0126489885,-0.08546235,9.809964
51.248,-0.012648346,-0.08326705,9.809953
51.264,-0.012647116,-0.08050508,9.809937
51.28,-0.012645347,-0.07717484,9.809916
51.296,-0.0126430765,-0.073274404,9.809887
51.312,-0.012640328,-0.06880152,9.809852
51.328,-0.012637123,-0.06375359,9.809809
51.344,-0.012633473,-0.058127698,9.809755
51.36,-0.012629385,-0.05192058,9.809691
51.376,-0.012624866,-0.045128647,9.809615
51.392,-0.012619918,-0.03774797,9.8095255
51.408,-0.012614541,-0.029774278,9.809421
51.424,-0.012608733,-0.021202963,9.8092985
