sim_time,value_0,value_1,value_2
48.016,-0.057558443,-0.019521542,1.2435368
48.032000000000004,0.013685569,-0.028260052,1.1474963
48.048,0.015694408,-0.027385958,1.04847
48.064,0.018796824,-0.025140155,0.9478726
48.08,0.022197442,-0.022495667,0.84588534
48.096000000000004,0.025744086,-0.019663496,0.74267477
48.112,0.02939132,-0.016719418,0.63840777
48.128,0.033115286,-0.01371307,0.53324926
48.144,0.03689771,-0.0106877675,0.4273614
48.160000000000004,0.04072248,-0.0076844385,0.32090348
48.176,0.04457468,-0.0047425595,0.21403192
48.192,0.04844023,-0.001900432,0.10690085
48.208,0.052305702,0.0008047592,-0.00033749532
48.224000000000004,0.05615835,0.0033370059,-0.107532136
48.24,0.059986174,0.0056616087,-0.2145327
48.256,0.06377808,0.007745364,-0.32118872
48.272,0.06752408,0.009556778,-0.427349
48.288000000000004,0.07121555,0.011066299,-0.5328608
48.304,0.074845366,0.012246545,-0.63756937
48.32,0.078408204,0.013072524,-0.7413172
48.336,0.081900656,0.013521825,-0.8439436
48.352000000000004,0.08532138,0.013574791,-0.9452842
48.368,0.0888399,0.01471271,-1.0447923
48.384,0.100226745,0.014648359,-1.1323624
48.4,0.113202915,0.013106612,-1.2149645
48.416000000000004,0.017402774,-0.0002283373,-1.1538631
48.432,0.014067628,-0.0055978536,-1.0692407
48.448,0.010386938,-0.00799576,-0.9803955
48.464,0.0064624213,-0.0088403,-0.88874865
48.480000000000004,0.0023509667,-0.0088549005,-0.7950514
48.496,0.10233198,-0.0019921253,-0.88290024
48.512,0.010989069,-0.004336011,-0.8020413
48.528,0.0068998314,-0.007038935,-0.7079013
48.544000000000004,0.002534468,-0.0078023374,-0.6108169
48.56,-0.0020045727,-0.0075644753,-0.51181495
48.576,-0.006673506,-0.0068127676,-0.41145673
48.592,-0.01144542,-0.00580387,-0.3100842
48.608000000000004,-0.016302029,-0.0046800883,-0.20792973
48.624,-0.02122938,-0.0035275863,-0.10517167
48.64,-0.025347194,-0.0023895125,-0.011752238
48.656,-0.021440184,-0.0010982743,-0.0072842883
48.672000000000004,-0.017528234,9.308407e-05,-0.007253913
48.688,-0.013636832,0.0012718278,-0.00722502
48.704,-0.009763152,0.0023964152,-0.007112517
48.72,0.07324692,-0.001005755,-0.10622093
48.736000000000004,0.0877081,-0.001741907,-0.20379877
48.752,0.102396324,-0.0018121452,-0.30238256
48.768,0.11718692,-0.001851226,-0.40133697
48.784,0.13206369,-0.002197902,-0.5003942
48.800000000000004,0.14702848,-0.0030487042,-0.599453
48.816,0.16209134,-0.004532704,-0.6984854
48.832,0.17726584,-0.006748018,-0.7974923
48.848,0.1925666,-0.009779367,-0.896481
48.864000000000004,0.20800829,-0.013706291,-0.9954539
48.88,0.11547295,-0.021383697,-0.9117932
